row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,player_defensive_archetypes,"Defense/hustle-ONLY player play-style archetype (the third leg alongside player_archetypes and player_offensive_archetypes) - one row per player-season, SEASON SCOPE 2025-26 ONLY (unlike the other two archetype systems, which cover all 4 seasons - see below). Steal type (on-ball/loose-ball recovery vs interception), block type (rim/paint vs perimeter), rebounding (offensive + defensive combined, contested share, and distance-from-basket zone), and fouls (rate per-36 and on-court-time-relative early-foul-trouble rate). No offensive/scoring stats at all, by design. K-means (k=9), k chosen via a k=3..15 average-silhouette sweep reviewed against basketball legibility (the silhouette-optimal k=3 collapsed to a size/position proxy rather than the style distinctions this feature set targets - see models/build_defensive_archetypes.R header). No tier layer yet. SCOPE CAVEAT: relies on player_rebounding_features, which is only pulled for cfg$player_rebounding_seasons (currently just 2025-26, since that tracking data has no bulk API endpoint) - a future run may drop advanced rebounding to compare against all 4 seasons of box-score-only defensive data instead.",NA,player_game_logs; player_turnover_features; player_block_features; player_foul_features; player_rebounding_features,NA,NA,NA
2,player_id,Player's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
3,player_name,Player's full name.,NA,hoopR::nba_leaguegamelog(),character,metadata,safe (metadata only)
4,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
5,games_played,"Games played this player-season (season-total grain, not rolling).",count(*) grouped by player_id + season,player_game_logs,integer,context,safe
6,min_per_game,Average minutes played per game this player-season.,sum(min) / games_played,player_game_logs.min,numeric,context,safe
7,archetype_cluster,"Which k-means cluster this player-season was assigned to (an arbitrary integer, not itself meaningful - see archetype_label for the human-readable name). Fit on standardized shape features via models/build_player_archetypes.R or models/build_offensive_archetypes.R depending on the table.",kmeans() cluster assignment.,NA,integer,identifier,safe
8,archetype_label,"Human-assigned name for this player-season's archetype_cluster, chosen after reviewing real centroid profiles and sample rosters - never pre-decided before seeing the actual clustering output.",Manual lookup from CLUSTER_LABELS in the build script.,archetype_cluster,character,metadata,safe (metadata only)
9,reb_per36,Total rebounds (offensive + defensive combined) per 36 minutes this player-season - deliberately folds offensive rebounding into the defense/hustle system rather than treating it as an offensive stat.,reb / min_total * 36,player_game_logs.reb; player_game_logs.min,numeric,context,safe
10,oreb_share,Share of this player's own total rebounds that were offensive this player-season.,oreb / reb (season totals),player_game_logs.oreb; player_game_logs.reb,numeric,context,safe
11,contested_reb_share,"Share of this player-season's rebounds (tracking-data total, not box-score reb) that were contested by an opposing player nearby, per NBA tracking data.",sum(c_reb) / sum(reb) from player_rebounding_features,player_rebounding_features.c_reb; player_rebounding_features.reb,numeric,context,safe
12,reb_0_3_share,Share of this player-season's tracked rebounds grabbed 0-3 feet from the basket.,sum(reb_0_3) / sum(reb) from player_rebounding_features,player_rebounding_features.reb_0_3,numeric,context,safe
13,reb_3_6_share,Share of this player-season's tracked rebounds grabbed 3-6 feet from the basket.,sum(reb_3_6) / sum(reb) from player_rebounding_features,player_rebounding_features.reb_3_6,numeric,context,safe
14,reb_6_10_share,Share of this player-season's tracked rebounds grabbed 6-10 feet from the basket.,sum(reb_6_10) / sum(reb) from player_rebounding_features,player_rebounding_features.reb_6_10,numeric,context,safe
15,reb_10_plus_share,Share of this player-season's tracked rebounds grabbed 10+ feet from the basket - typically long rebounds/loose-ball recoveries rather than fighting for position under the rim.,sum(reb_10_plus) / sum(reb) from player_rebounding_features,player_rebounding_features.reb_10_plus,numeric,context,safe
16,stl_per36,Steals per 36 minutes this player-season.,stl_total / min_total * 36,player_turnover_features (stl_lost_ball + stl_bad_pass); player_game_logs.min,numeric,context,safe
17,lost_ball_steal_share,Share of this player-season's steals that were lost-ball recoveries (on-ball/loose-ball defense) rather than bad-pass interceptions.,"stl_lost_ball / (stl_lost_ball + stl_bad_pass), summed over the season",player_turnover_features.stl_lost_ball; player_turnover_features.stl_bad_pass,numeric,context,safe
18,blk_per36,Blocks per 36 minutes this player-season.,blk / min_total * 36,player_game_logs.blk; player_game_logs.min,numeric,context,safe
19,paint_block_share,Share of this player-season's blocks that came against a rim-area shot type (layup/dunk/hook/tip) rather than a jump shot - rim protection vs. perimeter contest.,"(blk_layup+blk_dunk+blk_hook+blk_tip) / blk, summed over the season",player_block_features.blk_layup; player_block_features.blk_dunk; player_block_features.blk_hook; player_block_features.blk_tip; player_block_features.blk_jump_shot,numeric,context,safe
20,pf_per36,Personal fouls per 36 minutes this player-season.,pf_total / min_total * 36,player_foul_features.pf; player_game_logs.min,numeric,context,safe
21,early_foul_rate,"Share of this player's eligible games (games where they played at least foul_trouble_window_minutes) where their 2nd personal foul came within their own first foul_trouble_window_minutes ON THE FLOOR - anchored to when THEY checked in, not the raw game clock, so bench players who simply hadn't entered yet aren't misread as 'never foul early'. Replaced an earlier game-clock-relative design (fouls in Q1 / total fouls) that was biased against bench players - see conversation history.","count(eligible games where onct_elapsed_at_pf_2 <= foul_trouble_window_minutes*60) / count(eligible games), per player-season",player_foul_features.onct_elapsed_at_pf_2; player_game_logs.min,numeric,context,safe
