row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,player_block_features,"Player-game grain block detail, mined from play_by_play (R/features_playbyplay_events.R) - one row per player per game player_game_logs has, 0s for types that didn't occur. Blocks have no dedicated type_text (a blocked shot just carries its normal shot type) - detected via a structural rule instead: a missed shot with a 2nd player attached can only be a block. Subdivided by shot category (dunk/layup/hook/tip/jump_shot). blk_* columns validated against player_game_logs.blk: 99.6% exact match. fg_blocked_* (how often a player's OWN shot gets blocked) has no official box-score equivalent to validate against - a genuinely new stat this data enables, not something the NBA box score tracks.",NA,play_by_play; espn_player_id_mapping; player_game_logs,NA,NA,NA
2,player_id,Player's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
3,game_id_nba,NBA Stats API's canonical game identifier.,NA,hoopR API,character,identifier,safe
4,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
5,blk,Actual blocks recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
6,fg_blocked_jump_shot,"Times this player's own jump shot attempt was blocked in this exact game - a stat the official NBA box score doesn't track at all (no player_game_logs equivalent to validate against), mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated, and this player is athlete_1 (the shooter whose shot was blocked).",play_by_play.type_text (bucketed); play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
7,blk_layup,"Blocks this player recorded against a layup shot in this exact game, mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated (a missed shot with a 2nd player attached can only be a block - verified empirically), and this player is athlete_2 (the blocker). Shot type bucketed into dunk/layup/hook/tip/jump_shot via clean_shot_category().",play_by_play.type_text (bucketed); play_by_play.athlete_id_2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
8,blk_jump_shot,"Blocks this player recorded against a jump shot shot in this exact game, mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated (a missed shot with a 2nd player attached can only be a block - verified empirically), and this player is athlete_2 (the blocker). Shot type bucketed into dunk/layup/hook/tip/jump_shot via clean_shot_category().",play_by_play.type_text (bucketed); play_by_play.athlete_id_2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
9,fg_blocked_layup,"Times this player's own layup attempt was blocked in this exact game - a stat the official NBA box score doesn't track at all (no player_game_logs equivalent to validate against), mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated, and this player is athlete_1 (the shooter whose shot was blocked).",play_by_play.type_text (bucketed); play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
10,fg_blocked_tip,"Times this player's own tip attempt was blocked in this exact game - a stat the official NBA box score doesn't track at all (no player_game_logs equivalent to validate against), mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated, and this player is athlete_1 (the shooter whose shot was blocked).",play_by_play.type_text (bucketed); play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
11,blk_dunk,"Blocks this player recorded against a dunk shot in this exact game, mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated (a missed shot with a 2nd player attached can only be a block - verified empirically), and this player is athlete_2 (the blocker). Shot type bucketed into dunk/layup/hook/tip/jump_shot via clean_shot_category().",play_by_play.type_text (bucketed); play_by_play.athlete_id_2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
12,fg_blocked_dunk,"Times this player's own dunk attempt was blocked in this exact game - a stat the official NBA box score doesn't track at all (no player_game_logs equivalent to validate against), mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated, and this player is athlete_1 (the shooter whose shot was blocked).",play_by_play.type_text (bucketed); play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
13,blk_tip,"Blocks this player recorded against a tip shot in this exact game, mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated (a missed shot with a 2nd player attached can only be a block - verified empirically), and this player is athlete_2 (the blocker). Shot type bucketed into dunk/layup/hook/tip/jump_shot via clean_shot_category().",play_by_play.type_text (bucketed); play_by_play.athlete_id_2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
14,blk_hook,"Blocks this player recorded against a hook shot in this exact game, mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated (a missed shot with a 2nd player attached can only be a block - verified empirically), and this player is athlete_2 (the blocker). Shot type bucketed into dunk/layup/hook/tip/jump_shot via clean_shot_category().",play_by_play.type_text (bucketed); play_by_play.athlete_id_2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
15,fg_blocked_hook,"Times this player's own hook attempt was blocked in this exact game - a stat the official NBA box score doesn't track at all (no player_game_logs equivalent to validate against), mined from play_by_play.","Counted from play_by_play rows where shooting_play is TRUE, the shot missed, and athlete_id_2 is populated, and this player is athlete_1 (the shooter whose shot was blocked).",play_by_play.type_text (bucketed); play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
