row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,player_offensive_archetypes,"Offense-ONLY player play-style archetype (the counterpart to player_archetypes above) - one row per player-season (same games/minutes floor, plus total_fga >= 50), enriched with real shot-location data (player_shot_zone_features) and alley-oop rate/efficiency mined directly from play_by_play. No defensive stats (stl/blk/reb) at all, by design. K-means (k=9) on standardized shape features. No tier layer yet (built after this table, if wanted). See models/build_offensive_archetypes.R.",NA,player_game_logs; player_shot_zone_features; play_by_play; espn_player_id_mapping,NA,NA,NA
2,player_id,Player's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
3,player_name,Player's full name.,NA,hoopR::nba_leaguegamelog(),character,metadata,safe (metadata only)
4,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
5,games_played,"Games played this player-season (season-total grain, not rolling).",count(*) grouped by player_id + season,player_game_logs,integer,context,safe
6,min_per_game,Average minutes played per game this player-season.,sum(min) / games_played,player_game_logs.min,numeric,context,safe
7,total_fga,"Total field goal attempts this player-season, summed across the 8 shot zones - the denominator for every *_share column in this table.",Sum of fga_<zone> across all 8 zones.,player_shot_zone_features,integer,context,safe
8,archetype_cluster,"Which k-means cluster this player-season was assigned to (an arbitrary integer, not itself meaningful - see archetype_label for the human-readable name). Fit on standardized shape features via models/build_player_archetypes.R or models/build_offensive_archetypes.R depending on the table.",kmeans() cluster assignment.,NA,integer,identifier,safe
9,archetype_label,"Human-assigned name for this player-season's archetype_cluster, chosen after reviewing real centroid profiles and sample rosters - never pre-decided before seeing the actual clustering output.",Manual lookup from CLUSTER_LABELS in the build script.,archetype_cluster,character,metadata,safe (metadata only)
10,restricted_area_share,Share of this player-season's total FGA taken from the restricted area (within 4ft of the hoop).,fga_restricted_area / total_fga,player_shot_zone_features,numeric,context,safe
11,paint_share,"Share of total FGA taken from the paint, excluding the restricted area.",fga_paint_non_ra / total_fga,player_shot_zone_features,numeric,context,safe
12,mid_range_share,Share of total FGA that were mid-range shots (left + center + right mid-range zones combined).,(fga_left_mid_range + fga_center_mid_range + fga_right_mid_range) / total_fga,player_shot_zone_features,numeric,context,safe
13,corner_3_share,Share of total FGA that were corner 3s (left + right corner combined).,(fga_left_corner_3 + fga_right_corner_3) / total_fga,player_shot_zone_features,numeric,context,safe
14,above_the_break_3_share,Share of total FGA that were above-the-break 3s.,fga_above_the_break_3 / total_fga,player_shot_zone_features,numeric,context,safe
15,restricted_area_fg_pct,"Field goal percentage on restricted-area attempts this player-season - a rim-finishing skill marker, included as a clustering input the same way efg_pct is in the combined archetype system.",fgm_restricted_area / fga_restricted_area,player_shot_zone_features,numeric,context,safe
16,three_pt_fg_pct,Field goal percentage on all 3-point attempts (corner + above-the-break combined) this player-season.,(fgm_left_corner_3+fgm_right_corner_3+fgm_above_the_break_3) / (fga_left_corner_3+fga_right_corner_3+fga_above_the_break_3),player_shot_zone_features,numeric,context,safe
17,alley_oop_rate,Share of total FGA that were alley-oops (dunk or layup) - the 'lob threat' signal. Not tracked anywhere else in this pipeline; mined directly from play_by_play type_text.,alley_oop_fga / total_fga,"play_by_play.type_text (Alley Oop Dunk/Layup Shot, Running variants)",numeric,context,safe
18,alley_oop_fg_pct,Conversion rate on alley-oop attempts this player-season.,alley_oop_fgm / alley_oop_fga,play_by_play.type_text; play_by_play.scoring_play,numeric,context,safe
19,fta_rate,Free throw attempts relative to field goal attempts this player-season.,"fta / fga (season totals, from player_game_logs)",player_game_logs.fta; player_game_logs.fga,numeric,context,safe
20,oreb_share,Share of this player's own total rebounds that were offensive this player-season.,oreb / reb (season totals),player_game_logs.oreb; player_game_logs.reb,numeric,context,safe
21,ast_to_tov,Assist-to-turnover ratio this player-season (capped at 10 before clustering).,"pmin(ast / tov, 10)",player_game_logs.ast; player_game_logs.tov,numeric,context,safe
22,ast_per36,Assists per 36 minutes this player-season.,ast / min_total * 36,player_game_logs.ast; player_game_logs.min,numeric,context,safe
23,pts_per36,Points per 36 minutes this player-season.,pts / min_total * 36,player_game_logs.pts; player_game_logs.min,numeric,context,safe
24,tov_per36,Turnovers per 36 minutes this player-season.,tov / min_total * 36,player_game_logs.tov; player_game_logs.min,numeric,context,safe
