row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,player_foul_features,"Player-game grain foul detail, mined from play_by_play (R/features_playbyplay_events.R) - one row per player per game player_game_logs has, 0s for types that didn't occur. Four views built from the same underlying events: pf_<type> (foul subtype - shooting/personal/loose ball/offensive/flagrant/etc.), pf_q1..pf_q4/pf_ot (WHEN in the game fouls happened - the box score's end-of-game total can't answer this), elapsed_seconds_at_pf_2/3/6 (the exact game-clock moment - continuous across regulation and OT - a player reached that many fouls, NA if they never did), and checkin_elapsed_seconds/onct_elapsed_at_pf_2/3/6 (the same milestones re-anchored to the player's own on-court playing time rather than the raw game clock, so bench players who simply hadn't checked in yet aren't misread as never getting in early foul trouble - see conversation history). The PF-eligible foul type set (which type_texts count toward the real 6-foul disqualification) was chosen empirically by testing candidate sets against player_game_logs.pf directly, not assumed from rulebook memory: base foul types + Flagrant Fouls won at 96.31% exact match; Technical Fouls (even 'double' ones) do not count and are excluded. 'Offensive Foul' and 'Offensive Foul Turnover' were verified to be the SAME real event logged as two separate play_by_play rows (100% overlap) - only 'Offensive Foul' is counted here to avoid double-counting; the turnover side already lives in player_turnover_features.",NA,play_by_play; espn_player_id_mapping; player_game_logs,NA,NA,NA
2,player_id,Player's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
3,game_id_nba,NBA Stats API's canonical game identifier.,NA,hoopR API,character,identifier,safe
4,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
5,pf,Actual personal fouls recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
6,pf_personal,"Personal fouls of type 'personal' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
7,pf_shooting,"Personal fouls of type 'shooting' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
8,pf_transition_take,"Personal fouls of type 'transition take' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
9,pf_offensive,"Personal fouls of type 'offensive' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
10,pf_loose_ball,"Personal fouls of type 'loose ball' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
11,pf_personal_take,"Personal fouls of type 'personal take' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
12,pf_flagrant_foul_type_1,"Personal fouls of type 'flagrant foul type 1' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
13,pf_clear_path,"Personal fouls of type 'clear path' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
14,pf_away_from_play,"Personal fouls of type 'away from play' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
15,pf_double_personal,"Personal fouls of type 'double personal' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
16,pf_flagrant_foul_type_2,"Personal fouls of type 'flagrant foul type 2' this player committed in this exact game, mined from play_by_play. Counts toward the real 6-foul disqualification limit - the eligible type set (base foul types + Flagrant Fouls, excluding Technical Fouls) was chosen empirically by testing which combination best reconciles against player_game_logs.pf (96.31% exact match), not assumed from rules alone.","Counted from play_by_play rows where type_text is this foul subtype and this player is athlete_1 (or athlete_2 too, for Double Personal Foul - both named players are credited).",play_by_play.type_text; play_by_play.athlete_id_1/2 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
17,pf_q2,Personal fouls this player committed during quarter 2 of this exact game.,"Counted from play_by_play PF-eligible foul events (see PF_ELIGIBLE_TYPES in R/features_playbyplay_events.R), bucketed by period_number. Answers 'when' fouls happened - the box score only has the end-of-game total.",play_by_play.period_number; play_by_play.type_text (PF-eligible types only),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
18,pf_q3,Personal fouls this player committed during quarter 3 of this exact game.,"Counted from play_by_play PF-eligible foul events (see PF_ELIGIBLE_TYPES in R/features_playbyplay_events.R), bucketed by period_number. Answers 'when' fouls happened - the box score only has the end-of-game total.",play_by_play.period_number; play_by_play.type_text (PF-eligible types only),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
19,pf_q1,Personal fouls this player committed during quarter 1 of this exact game.,"Counted from play_by_play PF-eligible foul events (see PF_ELIGIBLE_TYPES in R/features_playbyplay_events.R), bucketed by period_number. Answers 'when' fouls happened - the box score only has the end-of-game total.",play_by_play.period_number; play_by_play.type_text (PF-eligible types only),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
20,pf_q4,Personal fouls this player committed during quarter 4 of this exact game.,"Counted from play_by_play PF-eligible foul events (see PF_ELIGIBLE_TYPES in R/features_playbyplay_events.R), bucketed by period_number. Answers 'when' fouls happened - the box score only has the end-of-game total.",play_by_play.period_number; play_by_play.type_text (PF-eligible types only),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
21,pf_ot,Personal fouls this player committed during overtime (all OT periods combined) of this exact game.,"Counted from play_by_play PF-eligible foul events (see PF_ELIGIBLE_TYPES in R/features_playbyplay_events.R), bucketed by period_number. Answers 'when' fouls happened - the box score only has the end-of-game total.",play_by_play.period_number; play_by_play.type_text (PF-eligible types only),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
22,elapsed_seconds_at_pf_2,Seconds elapsed since tip-off (continuous across regulation and any OT periods) when this player picked up their 2nd personal foul this game. NA if they never reached that many fouls that game (not missing data - a real 'didn't happen').,"PF-eligible foul events ranked chronologically per player-game via compute_elapsed_seconds() (whole-game-relative in regulation, period-relative in OT - verified empirically, not assumed), then the Nth one's timestamp taken.",play_by_play.period_number; play_by_play.start_game_seconds_remaining,numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
23,elapsed_seconds_at_pf_3,Seconds elapsed since tip-off (continuous across regulation and any OT periods) when this player picked up their 3rd personal foul this game. NA if they never reached that many fouls that game (not missing data - a real 'didn't happen').,"PF-eligible foul events ranked chronologically per player-game via compute_elapsed_seconds() (whole-game-relative in regulation, period-relative in OT - verified empirically, not assumed), then the Nth one's timestamp taken.",play_by_play.period_number; play_by_play.start_game_seconds_remaining,numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
24,elapsed_seconds_at_pf_6,Seconds elapsed since tip-off (continuous across regulation and any OT periods) when this player picked up their 6th personal foul this game. NA if they never reached that many fouls that game (not missing data - a real 'didn't happen').,"PF-eligible foul events ranked chronologically per player-game via compute_elapsed_seconds() (whole-game-relative in regulation, period-relative in OT - verified empirically, not assumed), then the Nth one's timestamp taken.",play_by_play.period_number; play_by_play.start_game_seconds_remaining,numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
25,fouled_out,TRUE if this player committed 6+ PF-eligible personal fouls this game (the real disqualification threshold).,pf >= 6,pf,logical,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
26,checkin_elapsed_seconds,"Seconds elapsed since tip-off when this player FIRST checked into the game (0 if they started on the floor - either as a starter or by never appearing in a substitution event at all, i.e. an iron-man). The anchor used to turn game-clock-relative foul timing into playing-time-relative timing (see onct_elapsed_at_pf_2/3/6).","Earliest play_by_play 'Substitution' event involving this player that game (as either the entering or leaving athlete) - if their earliest appearance is an exit, they started on the floor (0); if an entry, that event's timestamp; if no substitution event at all, they played the whole game with zero subs (0). See build_player_game_checkin_time() in R/features_playbyplay_events.R.",play_by_play.type_text ('Substitution'); play_by_play.athlete_id_1/2 (via espn_player_id_mapping),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
27,onct_elapsed_at_pf_2,Seconds of ON-COURT playing time (not raw game clock) this player had accumulated when they picked up their 2nd personal foul this game - elapsed_seconds_at_pf_2 minus their own checkin_elapsed_seconds. NA if they never reached that many fouls that game.,"pmax(elapsed_seconds_at_pf_2 - checkin_elapsed_seconds, 0) - corrects the raw game-clock milestone for when the player actually checked into the game, so a bench player isn't misread as having 'never fouled early' just because they hadn't entered yet.",elapsed_seconds_at_pf_2; checkin_elapsed_seconds,numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
28,onct_elapsed_at_pf_3,Seconds of ON-COURT playing time (not raw game clock) this player had accumulated when they picked up their 3rd personal foul this game - elapsed_seconds_at_pf_3 minus their own checkin_elapsed_seconds. NA if they never reached that many fouls that game.,"pmax(elapsed_seconds_at_pf_3 - checkin_elapsed_seconds, 0) - corrects the raw game-clock milestone for when the player actually checked into the game, so a bench player isn't misread as having 'never fouled early' just because they hadn't entered yet.",elapsed_seconds_at_pf_3; checkin_elapsed_seconds,numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
29,onct_elapsed_at_pf_6,Seconds of ON-COURT playing time (not raw game clock) this player had accumulated when they picked up their 6th personal foul this game - elapsed_seconds_at_pf_6 minus their own checkin_elapsed_seconds. NA if they never reached that many fouls that game.,"pmax(elapsed_seconds_at_pf_6 - checkin_elapsed_seconds, 0) - corrects the raw game-clock milestone for when the player actually checked into the game, so a bench player isn't misread as having 'never fouled early' just because they hadn't entered yet.",elapsed_seconds_at_pf_6; checkin_elapsed_seconds,numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
