row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,player_shot_zone_features,"Player-game grain shot location detail, mined from play_by_play shot coordinates (R/features_shot_zones.R) - one row per player per game player_game_logs has, 0s for zones with no attempts. Every shot classified into 8 court zones (restricted area, paint non-RA, left/center/right mid-range, left/right corner 3, above-the-break 3) via geometric rules verified against real court dimensions, since NBA's own shot-location dashboard endpoints are currently broken (see play_by_play table description). The 2PT/3PT boundary was checked against actual recorded shot values before trusting it for anything (99.966% match); zone totals validated against player_game_logs.fga/fgm (97.99%/99.4% exact match). Free throws are correctly excluded (they're not field goal attempts and don't reflect real shot-selection location).",NA,play_by_play; espn_player_id_mapping; player_game_logs,NA,NA,NA
2,player_id,Player's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
3,game_id_nba,NBA Stats API's canonical game identifier.,NA,hoopR API,character,identifier,safe
4,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
5,fga,Actual field goals attempted recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
6,fgm,Actual field goals made recorded in this exact game.,NA,hoopR::nba_leaguegamelog(),numeric,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
7,fga_above_the_break_3,"Field goal attempts from the above the break 3 zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
8,fga_left_mid_range,"Field goal attempts from the left mid range zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
9,fga_paint_non_ra,"Field goal attempts from the paint non ra zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
10,fga_right_mid_range,"Field goal attempts from the right mid range zone in this exact game, mined from play_by_play shot coordinates.","Every shooting_play row (free throws excluded) classified into one of 8 court zones via classify_shot_zone() in R/features_shot_zones.R, from coordinate_x/coordinate_y (feet, verified empirically against real court geometry - see file header). 2PT/3PT boundary verified against real recorded score_value: 99.966% match. Zone totals validated against player_game_logs.fga/fgm: 97.99%/99.4% exact match.",play_by_play.coordinate_x; play_by_play.coordinate_y; play_by_play.athlete_id_1 (via espn_player_id_mapping),integer,raw_actual,"UNSAFE - this game's actual result, never use to predict this same game"
