row_num,name,description,logic,sources,dtype,feature_family,leakage_risk
1,player_archetypes,"Combined offense+defense player play-style archetype, one row per player-season (min 20 games, min 10 min/game that season). K-means (k=9) on standardized box-score shape features (proportions/rates, not volume) - archetype describes STYLE; tier (percentile-ranked WITHIN each archetype via a role-specific weighted composite) describes CALIBER within that style. Position words deliberately excluded from archetype names. See models/build_player_archetypes.R for the full design and naming rationale.",NA,player_game_logs,NA,NA,NA
2,player_id,Player's NBA Stats API identifier.,NA,hoopR API,character,identifier,safe
3,player_name,Player's full name.,NA,hoopR::nba_leaguegamelog(),character,metadata,safe (metadata only)
4,season,"Season string, e.g. '2022-23'.","Set explicitly to the season being pulled, not trusted from the API's own inconsistently-typed season field - see R/pull_schedule.R.",NA,character,identifier,safe
5,games_played,"Games played this player-season (season-total grain, not rolling).",count(*) grouped by player_id + season,player_game_logs,integer,context,safe
6,min_per_game,Average minutes played per game this player-season.,sum(min) / games_played,player_game_logs.min,numeric,context,safe
7,archetype_cluster,"Which k-means cluster this player-season was assigned to (an arbitrary integer, not itself meaningful - see archetype_label for the human-readable name). Fit on standardized shape features via models/build_player_archetypes.R or models/build_offensive_archetypes.R depending on the table.",kmeans() cluster assignment.,NA,integer,identifier,safe
8,archetype_label,"Human-assigned name for this player-season's archetype_cluster, chosen after reviewing real centroid profiles and sample rosters - never pre-decided before seeing the actual clustering output.",Manual lookup from CLUSTER_LABELS in the build script.,archetype_cluster,character,metadata,safe (metadata only)
9,tier,"Caliber within this player's archetype ('Tier 1' best - 'Tier 4' lowest), NOT an absolute/league-wide caliber ranking. What counts toward tier differs by archetype - see TIER_WEIGHTS in models/build_player_archetypes.R (e.g. scoring/efficiency dominate for Elite Offensive Hub, rebounding/blocks dominate for Traditional Post Big).","Role-specific weighted sum of within-cluster z-scored production/efficiency stats, percentile-bucketed (top 10%/next 30%/next 30%/bottom 30%).",pts_per36; efg_pct; ast_per36; reb_per36; stl_per36; blk_per36; tov_per36,character,metadata,safe (metadata only)
10,tier_score,The continuous (non-bucketed) score tier is derived from - higher means better within this player's own archetype.,NA,tier,numeric,metadata,safe (metadata only)
11,fg3a_rate,Share of this player-season's field goal attempts that were 3-pointers.,fg3a / fga (season totals),player_game_logs.fg3a; player_game_logs.fga,numeric,context,safe
12,fta_rate,Free throw attempts relative to field goal attempts this player-season - a proxy for how often this player draws fouls/gets to the line.,fta / fga (season totals),player_game_logs.fta; player_game_logs.fga,numeric,context,safe
13,oreb_share,Share of this player's own total rebounds that were offensive (vs defensive) this player-season.,oreb / reb (season totals),player_game_logs.oreb; player_game_logs.reb,numeric,context,safe
14,ast_to_tov,"Assist-to-turnover ratio this player-season (capped at 10 before clustering, to keep one very-low-turnover season from dominating the standardized distance metric - the capped value is what's stored here).","pmin(ast / tov, 10)",player_game_logs.ast; player_game_logs.tov,numeric,context,safe
15,reb_per36,"Total rebounds per 36 minutes this player-season (season-totals basis, not an average of per-game rates).",reb / min_total * 36,player_game_logs.reb; player_game_logs.min,numeric,context,safe
16,ast_per36,Assists per 36 minutes this player-season.,ast / min_total * 36,player_game_logs.ast; player_game_logs.min,numeric,context,safe
17,stl_per36,Steals per 36 minutes this player-season.,stl / min_total * 36,player_game_logs.stl; player_game_logs.min,numeric,context,safe
18,blk_per36,Blocks per 36 minutes this player-season.,blk / min_total * 36,player_game_logs.blk; player_game_logs.min,numeric,context,safe
19,tov_per36,Turnovers per 36 minutes this player-season.,tov / min_total * 36,player_game_logs.tov; player_game_logs.min,numeric,context,safe
20,pts_per36,Points per 36 minutes this player-season.,pts / min_total * 36,player_game_logs.pts; player_game_logs.min,numeric,context,safe
21,efg_pct,Effective field goal percentage this player-season (weights 3-pointers appropriately vs 2-pointers). Used both as a clustering shape input and as a tier-score component.,(fgm + 0.5*fg3m) / fga (season totals),player_game_logs.fgm; player_game_logs.fg3m; player_game_logs.fga,numeric,context,safe
22,ft_pct,Free throw percentage this player-season.,ftm / fta (season totals),player_game_logs.ftm; player_game_logs.fta,numeric,context,safe
